"","iso3c","country","region","date","geo_level","sample.size","sero_ir","case_ir","death_r","log_gdp_ppp","population"
"141","ESP","Spain","Málaga",2020-05-11,2,1453,0.035,0.00247490607019779,0.000572005649133266,-10.1754968353364,1594808
"142","ESP","Spain","Melilla",2020-05-11,2,926,0.032,0.00486444349447628,0.000572005649133266,-10.1754968353364,NA
"143","ESP","Spain","Principado, Asturias",2020-05-11,2,1712,0.016,0.00221729696247057,0.000572005649133266,-10.1754968353364,1075183
"144","ESP","Spain","Ourense",2020-05-11,2,750,0.022,0.00560090295926035,0.000572005649133266,-10.1754968353364,328697
"145","ESP","Spain","Palencia",2020-05-11,2,767,0.082,0.00740119521678699,0.000572005649133266,-10.1754968353364,170513
"146","ESP","Spain","Balears, Illes",2020-05-11,2,1344,0.015,0.00193820462097786,0.000572005649133266,-10.1754968353364,1100503
"147","ESP","Spain","Pontevedra",2020-05-11,2,1216,0.02,0.0033145630274894,0.000572005649133266,-10.1754968353364,954877
"148","ESP","Spain","Cantabria",2020-05-11,2,1661,0.032,0.00383770264386322,0.000572005649133266,-10.1754968353364,592542
"149","ESP","Spain","Salamanca",2020-05-11,2,858,0.083,0.0122907964733242,0.000572005649133266,-10.1754968353364,350018
"150","ESP","Spain","Sevilla",2020-05-11,2,1784,0.027,0.00154121746858138,0.000572005649133266,-10.1754968353364,1930941
"151","ESP","Spain","Segovia",2020-05-11,2,721,0.126,0.0213457048127425,0.000572005649133266,-10.1754968353364,163171
"152","ESP","Spain","Soria",2020-05-11,2,720,0.146,0.0246168481133073,0.000572005649133266,-10.1754968353364,94610
"153","ESP","Spain","Gipuzkoa",2020-05-11,2,1020,0.026,0.00342449800614038,0.000572005649133266,-10.1754968353364,708425
"154","ESP","Spain","Tarragona",2020-05-11,2,992,0.016,0.00269749852548312,0.000572005649133266,-10.1754968353364,807044
"155","ESP","Spain","Teruel",2020-05-11,2,671,0.035,0.00403039912826029,0.000572005649133266,-10.1754968353364,143162
"156","ESP","Spain","Santa Cruz Tenerife",2020-05-11,2,1227,0.032,0.00160634259198798,0.000572005649133266,-10.1754968353364,995429
"157","ESP","Spain","Toledo",2020-05-11,2,1198,0.088,0.00695377567624264,0.000572005649133266,-10.1754968353364,705516
"158","ESP","Spain","Valencia/València",2020-05-11,2,2007,0.021,0.00290558185368944,0.000572005649133266,-10.1754968353364,2563342
"159","ESP","Spain","Valladolid",2020-05-11,2,1082,0.072,0.00857038281418637,0.000572005649133266,-10.1754968353364,532765
"160","ESP","Spain","Araba/Álava",2020-05-11,2,727,0.062,0.0106054654620953,0.000572005649133266,-10.1754968353364,320778
"161","ESP","Spain","Zaragoza",2020-05-11,2,1299,0.052,0.00469558174464442,0.000572005649133266,-10.1754968353364,975385
"162","ESP","Spain","Zamora",2020-05-11,2,662,0.062,0.0051979771727388,0.000572005649133266,-10.1754968353364,191613
"163","GBR","United Kingdom","England",2020-05-13,2,3298,0.063,0.00334,0.000480806028883362,-10.0351529090652,56292514.9700599
"164","SWE","Sweden","Sweden",2020-05-14,1,1200,0.056,0.00291258675131965,0.000385473405503566,-9.85551565109967,10099270
"165","SWE","Sweden","Sweden",2020-05-14,1,400,0.04,0.00291258675131965,0.000385473405503566,-9.85551565109967,10099270
"166","USA","United States","Missouri",2020-05-14,2,1831,0.028,0.00169818774381512,9.25057198821457e-05,-9.6997539903221,6075300
"167","USA","United States","Philadelphia Metro Area",2020-05-14,3,1743,0.0363,0.00753819299627724,0.000525351943059828,-9.6997539903221,6667911
"168","USA","United States","Utah",2020-05-16,2,1940,0.0114,0.00236076796436536,2.60526176033529e-05,-9.6997539903221,2993941
"169","GBR","United Kingdom","England",2020-05-18,2,4309,0.0629,0.003516,0.000500338773806748,-10.0351529090652,56291808.8737201
"170","USA","United States","Minnesota",2020-05-18,3,1323,0.0218,0.00326716509813037,0.000173397030347701,-9.6997539903221,3725554
"171","SWE","Sweden","Sweden",2020-05-21,1,1200,0.07,0.00329093092867108,0.000421812665667915,-9.85551565109967,10099270
"172","SWE","Sweden","Sweden",2020-05-21,1,400,0.052,0.00329093092867108,0.000421812665667915,-9.85551565109967,10099270
"173","RUS","Russia","Russia",2020-05-22,1,650000,0.14,0.00223694938124964,2.2263418797726e-05,-10.4614752364644,145934460
"174","AUS","Australia","Australia",2020-05-26,1,2991,0.0028,0.000279962090803483,4.03923453603568e-06,-9.90006911157912,25499881
"175","DEU","Germany","Germany",2020-05-27,1,30000,0.0125,0.00216657260528852,0.000100592064505915,-9.91025807402266,83783945
"176","BEL","Belgium","Belgium",2020-05-28,1,2960,0.055,0.00499145096783189,0.00081003546623115,-9.98032801023463,11589616
"177","GBR","United Kingdom","England",2020-05-28,2,4840,0.0621,0.003828,0.000544397929210858,-10.0351529090652,56281609.1954023
"178","SWE","Sweden","Sweden",2020-05-28,1,1200,0.056,0.0036825433917501,0.000450428595334118,-9.85551565109967,10099270
"179","SWE","Sweden","Sweden",2020-05-28,1,400,0.063,0.0036825433917501,0.000450428595334118,-9.85551565109967,10099270
"180","ESP","Spain","Alicante/Alacant",2020-06-01,2,1564,0.03,0.00287933155019582,0.000580197324410638,-10.1754968353364,1852166
"181","ESP","Spain","Albacete",2020-06-01,2,1051,0.108,0.0117062602719259,0.000580197324410638,-10.1754968353364,401580
"182","ESP","Spain","Almería",2020-06-01,2,901,0.034,0.00102071040282488,0.000580197324410638,-10.1754968353364,688736
"183","ESP","Spain","Ávila",2020-06-01,2,661,0.08,0.0124150145356458,0.000580197324410638,-10.1754968353364,171647
"184","ESP","Spain","Barcelona",2020-06-01,2,3664,0.073,0.00816432219448752,0.000580197324410638,-10.1754968353364,5522565
"185","ESP","Spain","Badajoz",2020-06-01,2,1577,0.027,0.00209309351415657,0.000580197324410638,-10.1754968353364,691799
"186","ESP","Spain","Bizkaia",2020-06-01,2,1277,0.036,0.00732578555427741,0.000580197324410638,-10.1754968353364,1156190
"187","ESP","Spain","Burgos",2020-06-01,2,900,0.057,0.00795623533706629,0.000580197324410638,-10.1754968353364,372538
"188","ESP","Spain","Coruña, A",2020-06-01,2,1208,0.016,0.00413305692000077,0.000580197324410638,-10.1754968353364,1141286
"189","ESP","Spain","Cádiz",2020-06-01,2,1324,0.026,0.00123319718622161,0.000580197324410638,-10.1754968353364,1244732
"190","ESP","Spain","Cáceres",2020-06-01,2,1163,0.039,0.00923913438542674,0.000580197324410638,-10.1754968353364,412701
"191","ESP","Spain","Ceuta",2020-06-01,2,906,0.007,0.00262212294843158,0.000580197324410638,-10.1754968353364,82376
"192","ESP","Spain","Córdoba",2020-06-01,2,1087,0.027,0.00211070616453291,0.000580197324410638,-10.1754968353364,802575
"193","ESP","Spain","Ciudad Real",2020-06-01,2,1147,0.091,0.0152251684300873,0.000580197324410638,-10.1754968353364,526628
"194","ESP","Spain","Castellón/Castelló",2020-06-01,2,838,0.027,0.00293730222417369,0.000580197324410638,-10.1754968353364,594423
"195","ESP","Spain","Cuenca",2020-06-01,2,803,0.114,0.008700299769944,0.000580197324410638,-10.1754968353364,215165
"196","ESP","Spain","Palmas, Las",2020-06-01,2,1400,0.022,0.000696268021798616,0.000580197324410638,-10.1754968353364,1087225
"197","ESP","Spain","Girona",2020-06-01,2,1065,0.027,0.00604544257428113,0.000580197324410638,-10.1754968353364,751806
"198","ESP","Spain","Granada",2020-06-01,2,1050,0.035,0.00335863789176879,0.000580197324410638,-10.1754968353364,922100
"199","ESP","Spain","Guadalajara",2020-06-01,2,844,0.098,0.00689864124734892,0.000580197324410638,-10.1754968353364,257442
"200","ESP","Spain","Huelva",2020-06-01,2,962,0.012,0.00101558968637898,0.000580197324410638,-10.1754968353364,519895
"201","ESP","Spain","Huesca",2020-06-01,2,678,0.05,0.00442552287552774,0.000580197324410638,-10.1754968353364,225962
"202","ESP","Spain","Jaén",2020-06-01,2,1022,0.044,0.00283901936226187,0.000580197324410638,-10.1754968353364,667484
"203","ESP","Spain","Lleida",2020-06-01,2,815,0.029,0.00593712080432819,0.000580197324410638,-10.1754968353364,438428
"204","ESP","Spain","León",2020-06-01,2,934,0.064,0.00760573430202387,0.000580197324410638,-10.1754968353364,493312
"205","ESP","Spain","Rioja, La",2020-06-01,2,1356,0.037,0.0123920752989822,0.000580197324410638,-10.1754968353364,321173
"206","ESP","Spain","Lugo",2020-06-01,2,766,0.015,0.00261156616398567,0.000580197324410638,-10.1754968353364,348067
"207","ESP","Spain","Madrid",2020-06-01,2,3732,0.117,0.0110167219101465,0.000580197324410638,-10.1754968353364,6421874
"208","ESP","Spain","Málaga",2020-06-01,2,1343,0.036,0.00250374966767159,0.000580197324410638,-10.1754968353364,1594808
"209","ESP","Spain","Melilla",2020-06-01,2,907,0.034,0.00512542214130263,0.000580197324410638,-10.1754968353364,NA
"210","ESP","Spain","Principado, Asturias",2020-06-01,2,1703,0.019,0.00225636008009799,0.000580197324410638,-10.1754968353364,1075183
"211","ESP","Spain","Ourense",2020-06-01,2,748,0.025,0.00565870695503762,0.000580197324410638,-10.1754968353364,328697
"212","ESP","Spain","Palencia",2020-06-01,2,783,0.066,0.0077882624785207,0.000580197324410638,-10.1754968353364,170513
"213","ESP","Spain","Balears, Illes",2020-06-01,2,1280,0.014,0.00204270229158848,0.000580197324410638,-10.1754968353364,1100503
"214","ESP","Spain","Pontevedra",2020-06-01,2,1150,0.021,0.00333550813350829,0.000580197324410638,-10.1754968353364,954877
"215","ESP","Spain","Cantabria",2020-06-01,2,1670,0.037,0.00392039720391128,0.000580197324410638,-10.1754968353364,592542
"216","ESP","Spain","Salamanca",2020-06-01,2,836,0.095,0.0125279271351759,0.000580197324410638,-10.1754968353364,350018
"217","ESP","Spain","Sevilla",2020-06-01,2,1697,0.027,0.00155209299507339,0.000580197324410638,-10.1754968353364,1930941
"218","ESP","Spain","Segovia",2020-06-01,2,705,0.124,0.0215602037126695,0.000580197324410638,-10.1754968353364,163171
"219","ESP","Spain","Soria",2020-06-01,2,713,0.144,0.0251559031814819,0.000580197324410638,-10.1754968353364,94610
"220","ESP","Spain","Gipuzkoa",2020-06-01,2,1065,0.025,0.00344284857253767,0.000580197324410638,-10.1754968353364,708425
"221","ESP","Spain","Tarragona",2020-06-01,2,946,0.015,0.00278547390229033,0.000580197324410638,-10.1754968353364,807044
"222","ESP","Spain","Teruel",2020-06-01,2,647,0.049,0.00442156438160965,0.000580197324410638,-10.1754968353364,143162
"223","ESP","Spain","Santa Cruz Tenerife",2020-06-01,2,1193,0.024,0.0016555675994973,0.000580197324410638,-10.1754968353364,995429
"224","ESP","Spain","Toledo",2020-06-01,2,1099,0.086,0.00716638602101157,0.000580197324410638,-10.1754968353364,705516
"225","ESP","Spain","Valencia/València",2020-06-01,2,1987,0.02,0.00294849458246305,0.000580197324410638,-10.1754968353364,2563342
"226","ESP","Spain","Valladolid",2020-06-01,2,1060,0.074,0.00884817884057699,0.000580197324410638,-10.1754968353364,532765
"227","ESP","Spain","Araba/Álava",2020-06-01,2,772,0.064,0.0108080978121941,0.000580197324410638,-10.1754968353364,320778
"228","ESP","Spain","Zaragoza",2020-06-01,2,1289,0.047,0.00482681197680916,0.000580197324410638,-10.1754968353364,975385
"229","ESP","Spain","Zamora",2020-06-01,2,678,0.073,0.00540151242347857,0.000580197324410638,-10.1754968353364,191613
"230","USA","United States","Connecticut",2020-06-02,2,1798,0.0627,0.0119569517465401,0.00110502832400143,-9.6997539903221,3594478
"231","GBR","United Kingdom","England",2020-06-03,2,5248,0.0624,0.003957,0.000560262760494785,-10.0351529090652,56285064.4427597
"232","USA","United States","Missouri",2020-06-03,2,1850,0.0084,0.00226606093526246,0.000129376327094958,-9.6997539903221,6075300
"233","USA","United States","Philadelphia Metro Area",2020-06-03,3,1694,0.0378,0.00936395221831845,0.000704718464298639,-9.6997539903221,6667911
"234","USA","United States","Western Washington Region",2020-06-03,3,1803,0.0169,0.00288014733795536,0.000161266843822338,-9.6997539903221,5605616
"235","USA","United States","New York City Metro Area",2020-06-04,3,1581,0.1947,0.0262066397403626,0.00220554003583559,-9.6997539903221,12396057
"236","ITA","Italy","Italy",2020-06-05,1,64660,0.025,0.00387899287464481,0.000558600378407348,-10.2011644366852,60461828
"237","ITA","Italy","Piemonte",2020-06-05,2,3000,0.03,0.00707165493757928,0.000901431133829124,-3.56580225904208,4356406
"238","ITA","Italy","Valle d'Aosta/Vallée…",2020-06-05,2,3000,0.04,0.00944567345184855,0.0011379370712842,-3.35425280959014,125666
"239","ITA","Italy","Liguria",2020-06-05,2,3000,0.031,0.00631094257854821,0.000958313986483001,-3.54523549842797,1550640
"240","ITA","Italy","Lombardia",2020-06-05,2,3000,0.075,0.00893865499125597,0.0016124328492589,-3.36389659945698,10060574
"241","ITA","Italy","Abruzzo",2020-06-05,2,3000,0.015,0.00248326445965934,0.000316412266121777,-3.76546666495186,1311580
"242","ITA","Italy","Molise",2020-06-05,2,3000,0.007,0.00142662221015192,7.52575936548032e-05,-3.97031939931188,305617
"243","ITA","Italy","Campania",2020-06-05,2,3000,0.007,0.00083113684766444,7.32544919654473e-05,-4.09212835671346,5801692
"244","ITA","Italy","Puglia",2020-06-05,2,3000,0.009,0.00111862514590898,0.000129310783452092,-4.06743668978297,4029053
"245","ITA","Italy","Basilicata",2020-06-05,2,3000,0.008,0.000708868315718222,4.79685326425865e-05,-3.91051225010946,562869
"246","ITA","Italy","Calabria",2020-06-05,2,3000,0.006,0.000595234732537256,4.98168844315046e-05,-4.17870832058692,1947131
"247","ITA","Italy","Sicilia",2020-06-05,2,3000,0.003,0.000689615033607733,5.52012033862338e-05,-4.1373271361638,4999891
"248","ITA","Italy","Sardegna",2020-06-05,2,3000,0.003,0.0008288652474916,7.98979745558496e-05,-3.95819430151056,1639591
"249","ITA","Italy","Bolzano/Bozen",2020-06-05,2,3000,0.033,0.00489289842576312,0.000549721562263497,-3.16823059293672,531178
"250","ITA","Italy","Trento",2020-06-05,2,3000,0.031,0.008192600970619,0.000857515644116223,-3.38011994753014,541098
"251","ITA","Italy","Veneto",2020-06-05,2,3000,0.019,0.00390839189262461,0.000395038254297825,-3.5140985060347,4905854
"252","ITA","Italy","Friuli-Venezia Giulia",2020-06-05,2,3000,0.01,0.00269909975148533,0.0002781389378055,-3.57339475532692,1215220
"253","ITA","Italy","Emilia-Romagna",2020-06-05,2,3000,0.028,0.0062511814726256,0.000934414506454456,-3.42709012045892,4459477
"254","ITA","Italy","Toscana",2020-06-05,2,3000,0.01,0.00271581098556134,0.000285014026819203,-3.56615378273716,3729641
"255","ITA","Italy","Umbria",2020-06-05,2,3000,0.009,0.00162242138739137,8.61663350396535e-05,-3.77896507282707,882015
"256","ITA","Italy","Marche",2020-06-05,2,3000,0.027,0.00441888687321794,0.000648409364630941,-3.67050248173316,1525271
"257","ITA","Italy","Lazio",2020-06-05,2,3000,0.01,0.00132214519205549,0.000128251315426456,-3.502017961559,5879082
"258","USA","United States","Utah",2020-06-05,2,1976,0.0152,0.00375825709324265,4.00809501590045e-05,-9.6997539903221,2993941
"259","USA","United States","Minnesota",2020-06-07,3,1667,0.0434,0.0057178073381838,0.000283179360707159,-9.6997539903221,3725554
"260","GBR","United Kingdom","North East",2020-06-11,2,226,0.049,0.005509,0.000575980286010059,-10.0351529090652,2670176.0755128
"261","GBR","United Kingdom","North West",2020-06-11,2,886,0.048,0.00542,0.000575980286010059,-10.0351529090652,7341697.41697417
"262","GBR","United Kingdom","Yorkshire and the Humber",2020-06-11,2,741,0.052,0.004669,0.000575980286010059,-10.0351529090652,5502463.05418719
"263","GBR","United Kingdom","East Midlands",2020-06-11,2,701,0.039,0.003759,0.000575980286010059,-10.0351529090652,4836392.65762171
"264","GBR","United Kingdom","West Midlands",2020-06-11,2,684,0.068,0.004048,0.000575980286010059,-10.0351529090652,5934041.50197628
"265","GBR","United Kingdom","East of England",2020-06-11,2,918,0.064,0.003556,0.000575980286010059,-10.0351529090652,6236501.68728909
"266","GBR","United Kingdom","London",2020-06-11,2,540,0.11,0.003677,0.000575980286010059,-10.0351529090652,8961109.60021757
"267","GBR","United Kingdom","South East",2020-06-11,2,1232,0.047,0.003526,0.000575980286010059,-10.0351529090652,9180657.96937039
"268","GBR","United Kingdom","South West",2020-06-11,2,1165,0.035,0.002211,0.000575980286010059,-10.0351529090652,5625508.81953867
"269","GBR","United Kingdom","England",2020-06-11,2,7093,0.0602,0.004092,0.000575980286010059,-10.0351529090652,56285923.7536657
"270","GBR","United Kingdom","North East",2020-06-13,2,226,0.049,0.005536,0.000579486163304,-10.0351529090652,2669978.32369942
"271","GBR","United Kingdom","North West",2020-06-13,2,886,0.048,0.005461,0.000579486163304,-10.0351529090652,7340780.07690899
"272","GBR","United Kingdom","Yorkshire and the Humber",2020-06-13,2,741,0.052,0.004749,0.000579486163304,-10.0351529090652,5502421.5624342
"273","GBR","United Kingdom","East Midlands",2020-06-13,2,701,0.039,0.003823,0.000579486163304,-10.0351529090652,4835731.1012294
"274","GBR","United Kingdom","West Midlands",2020-06-13,2,684,0.068,0.004075,0.000579486163304,-10.0351529090652,5934478.52760736
"275","GBR","United Kingdom","East of England",2020-06-13,2,918,0.064,0.003581,0.000579486163304,-10.0351529090652,6236246.85841944
"276","GBR","United Kingdom","London",2020-06-13,2,540,0.11,0.003687,0.000579486163304,-10.0351529090652,8962028.74966097
"277","GBR","United Kingdom","South East",2020-06-13,2,1232,0.047,0.003543,0.000579486163304,-10.0351529090652,9179791.13745413
"278","GBR","United Kingdom","South West",2020-06-13,2,1165,0.035,0.002217,0.000579486163304,-10.0351529090652,5625169.14749662
"279","GBR","United Kingdom","England",2020-06-13,2,7093,0.0602,0.004123,0.000579486163304,-10.0351529090652,56281105.9907834
"280","BEL","Belgium","Belgium",2020-06-17,1,3023,0.045,0.00519810147290471,0.000834799013185596,-9.98032801023463,11589616
"281","AFG","Afghanistan","Afghanistan",2020-07-11,1,9500,0.315,0.000882801555812512,2.55340960972367e-05,-13.1625221763397,38928341
